


Depth		Running Time

1		0m0.023s
2		0m0.024s		
3		0m0.030s
4		0m0.028s
5		0m0.028s
6		0m0.034s
7		0m0.033s
8		0m0.030s
9		0m0.035s
10		0m0.031s
11		0m0.030s
12		0m0.035s
13		0m0.033s
14		0m0.037s
15		0m0.035s
16		0m0.035s
17		0m0.039s
18		0m0.039s
19		0m0.040s
20		0m0.041s
21		0m0.045s
22		0m0.046s
23		0m0.047s
24		0m0.049s
25		0m0.043s
26		0m0.046s
27		0m0.044s
28		0m0.049s
29		0m0.052s
30		0m0.048s
31		0m0.052s
32		0m0.051s
33		0m0.055s
34		0m0.052s
35		0m0.053s
36		0m0.058s
37		0m0.051s
38		0m0.060s
39		0m0.054s
40		0m0.057s
41		0m0.063s
42		0m0.059s
43		0m0.061s
44		0m0.062s
45		0m0.058s
46		0m0.059s
47		0m0.063s
48		0m0.059s
49		0m0.062s
50		0m0.060s
		
